1406;1362;1412;1517;1391;1442;1454;1510;1444;1435;1452;1559
12;1124;1165;1125;1165;1071;1123;819;854;419;487;1436
11;1032;1064;1055;1115;1019;1061;805;725;409;451;1399
12;929;972;952;1016;957;966;544;537;332;332;1522
11;283;389;373;1108;310;335;202;147;104;87;1482
10;35;26;33;1222;53;47;22;20;32;30;1529
9,4;15;16;17;1248;16;15;14;15;17;16;1507
1401;1270;1321;1336;1379;1365;1445;1452;1432;1465;1458;1551
